species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
pabulinus,34.75639,57.97333,35,85,23,9625,223,-136,359,158,-82,158,-89,639,90,28,34,235,92,235,107
pabulinus,39.63,59.36,22,89,22,10378,225,-173,398,152,-102,152,-115,583,79,24,35,218,83,218,100
pabulinus,41.61666,51.66666,60,90,22,11014,263,-133,396,196,-16,196,-83,507,61,28,22,158,87,158,113
pabulinus,150.74167,65.92278,-114,106,17,19078,215,-400,615,100,-120,132,-350,251,41,6,54,113,27,110,45
pabulinus,129.71666,62.01666,-101,117,16,21514,254,-447,701,161,-328,161,-385,243,39,6,56,113,23,113,29
pabulinus,130.03333,60.23333,-96,116,17,20650,245,-436,681,155,-205,155,-370,341,58,9,61,163,31,163,39
pabulinus,120.31028,63.45278,-87,109,16,19242,242,-401,643,154,-193,154,-338,274,48,8,54,121,27,121,36
pabulinus,40.1,57.482,41,80,21,10365,234,-144,378,171,-81,171,-95,606,86,26,33,217,90,217,109
pabulinus,40.188,58.089,34,82,21,10372,229,-154,383,164,-89,164,-103,611,84,27,32,220,92,220,112
pabulinus,113.45,52.03333,-18,145,25,15180,252,-318,570,168,-185,168,-224,350,104,2,113,249,8,249,10
pabulinus,8.35675,46.54396,5,58,27,5489,118,-96,214,75,-60,75,-62,1802,185,124,13,536,396,536,405
pabulinus,25.11666,51.06666,73,83,26,8318,238,-78,316,176,-27,176,-37,576,79,29,34,215,91,215,101
pabulinus,25.959,48.288,85,91,28,8319,243,-78,321,174,-14,185,-27,644,100,29,45,273,94,260,98
pabulinus,24.24,50.68,74,82,26,8024,234,-73,307,173,-22,173,-33,590,82,29,35,222,92,222,97
pabulinus,32.1,49.04,80,86,24,9402,262,-83,345,199,-34,199,-41,543,74,30,29,196,103,196,120
pabulinus,26.98333,49.41666,73,87,26,8507,237,-86,323,164,-31,177,-40,671,104,32,44,276,107,276,118
pabulinus,26.86666,50.28333,72,85,26,8655,240,-85,325,179,-34,179,-42,678,99,31,39,268,103,268,118
pabulinus,34.96666,50.46666,70,85,24,9757,252,-102,354,190,2,190,-57,586,72,33,23,195,108,195,125
pabulinus,24.53333,48.45,61,87,28,7596,213,-88,301,140,-30,154,-40,785,113,40,40,314,124,308,133
pabulinus,22.483,62.546,30,86,25,8330,206,-126,332,124,-36,139,-76,578,77,27,32,210,90,193,110
pabulinus,27.227,68.644,-17,87,23,9696,173,-197,370,110,-94,110,-141,425,68,18,46,178,58,178,64
pabulinus,25.6616,62.1214,33,76,22,8790,212,-120,332,132,-35,149,-78,650,86,33,29,228,105,220,131
pabulinus,128.71,37.71,62,99,27,9404,229,-130,359,173,-64,178,-64,1635,369,41,75,887,143,835,143
